City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buala,SB,-8.145,159.5921,84.65,74,79,9.66,light rain
1,Alyangula,AU,-13.8483,136.4192,82.74,77,100,18.97,light rain
2,Kaitong,CN,44.8135,123.15,2.48,70,0,4.29,clear sky
3,Castro,BR,-24.7911,-50.0119,65.1,93,100,2.46,overcast clouds
4,Khatanga,RU,71.9667,102.5,-7.98,97,100,11.56,light snow
5,Ushuaia,AR,-54.8,-68.3,44.26,70,75,32.21,broken clouds
6,Yantzaza,EC,-3.8278,-78.7594,69.4,77,80,1.97,broken clouds
7,Muravlenko,RU,63.7898,74.523,2.97,96,100,16.75,light snow
8,Vilhena,BR,-12.7406,-60.1458,70.02,97,67,4.03,broken clouds
9,Mataura,NZ,-46.1927,168.8643,76.24,43,100,1.23,overcast clouds
10,Katherine,AU,-14.4667,132.2667,79.12,89,75,11.5,broken clouds
11,Lebu,CL,-37.6167,-73.65,57.85,80,31,13.71,scattered clouds
12,Kavieng,PG,-2.5744,150.7967,84.52,69,98,6.11,overcast clouds
13,Qeshm,IR,26.9581,56.2719,69.21,36,90,21.27,overcast clouds
14,Hilo,US,19.7297,-155.09,93.27,91,32,1.99,scattered clouds
15,Ilulissat,GL,69.2167,-51.1,-5.78,71,100,29.93,overcast clouds
16,Atuona,PF,-9.8,-139.0333,78.93,73,17,20.13,few clouds
17,Hobart,AU,-42.8794,147.3294,59.27,69,75,10.36,broken clouds
18,Beira,MZ,-19.8436,34.8389,74.53,88,0,3.15,light rain
19,Lagos,NG,6.5833,3.75,77.32,71,46,2.1,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,71.8,89,0,7.47,clear sky
21,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.26,94,100,7.81,overcast clouds
22,Tumbes,PE,-3.5667,-80.4414,75.65,76,100,7.0,overcast clouds
23,Busselton,AU,-33.65,115.3333,67.82,60,0,15.73,clear sky
24,Georgiyevka,KZ,43.0369,74.7114,23.04,80,40,8.95,mist
25,Kushiro,JP,42.975,144.3747,17.87,59,14,3.91,few clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,73.54,92,45,1.99,scattered clouds
27,Mae Hong Son,TH,19.3003,97.9685,57.09,81,2,1.92,clear sky
28,Matagami,CA,49.7502,-77.6328,21.31,100,100,4.61,mist
29,New Norfolk,AU,-42.7826,147.0587,58.91,51,64,1.01,broken clouds
30,Jurmala,LV,56.968,23.7704,48.22,93,100,12.66,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,26.49,92,100,4.23,overcast clouds
