City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2022-10-18 02:18:28,5.4112,100.3354,84.13,78,20,0.0
1,Aklavik,CA,2022-10-18 02:22:42,68.2191,-135.0107,26.51,91,100,4.47
2,Yar-Sale,RU,2022-10-18 02:22:43,66.8333,70.8333,34.32,93,71,13.76
3,Teknaf,BD,2022-10-18 02:22:43,20.8624,92.3058,79.12,86,98,3.94
4,Fortuna,US,2022-10-18 02:22:44,40.5982,-124.1573,61.93,82,0,8.05
5,Pevek,RU,2022-10-18 02:22:44,69.7008,170.3133,4.77,93,70,5.06
6,Jadu,LY,2022-10-18 02:22:45,31.953,12.0261,58.66,74,0,5.68
7,San Rafael,AR,2022-10-18 02:22:45,-34.6177,-68.3301,53.56,85,100,14.03
8,Clyde River,CA,2022-10-18 02:22:46,70.4692,-68.5914,23.23,86,100,6.91
9,Jamestown,US,2022-10-18 02:22:46,42.097,-79.2353,40.59,68,75,18.41
10,Rikitea,PF,2022-10-18 02:20:00,-23.1203,-134.9692,68.85,69,74,21.56
11,Bengkulu,ID,2022-10-18 02:22:47,-3.8004,102.2655,80.31,77,100,2.1
12,Ushtobe,KZ,2022-10-18 02:22:48,45.2514,77.9838,52.03,66,100,10.47
13,Atuona,PF,2022-10-18 02:22:48,-9.8,-139.0333,77.05,72,29,12.66
14,Kitui,KE,2022-10-18 02:22:49,-1.367,38.0106,63.28,85,95,5.73
15,Saint-Pierre,RE,2022-10-18 02:22:49,-21.3393,55.4781,67.91,60,0,4.61
16,Port Alfred,ZA,2022-10-18 02:22:50,-33.5906,26.891,59.18,96,90,1.01
17,Castro,BR,2022-10-18 02:22:50,-24.7911,-50.0119,58.5,95,100,8.32
18,Punta Arenas,CL,2022-10-18 02:22:51,-53.15,-70.9167,51.91,66,75,21.85
19,Yellowknife,CA,2022-10-18 02:22:51,62.456,-114.3525,43.32,81,20,11.5
20,Coquimbo,CL,2022-10-18 02:22:52,-29.9533,-71.3436,51.53,93,0,2.3
21,Tuktoyaktuk,CA,2022-10-18 02:22:52,69.4541,-133.0374,28.4,100,100,11.5
22,Nanortalik,GL,2022-10-18 02:22:53,60.1432,-45.2371,37.11,76,100,6.33
23,Baculin,PH,2022-10-18 02:22:53,7.4525,126.5842,85.44,71,88,4.97
24,Khatanga,RU,2022-10-18 02:22:54,71.9667,102.5,20.89,96,100,7.76
25,Anadyr,RU,2022-10-18 02:22:54,64.75,177.4833,23.5,73,0,6.71
26,Bathsheba,BB,2022-10-18 02:22:55,13.2167,-59.5167,83.01,78,40,12.66
27,Laguna,US,2022-10-18 02:19:44,38.421,-121.4238,73.06,62,0,0.0
