City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,77.74,38,92,5.26,NZ,2023-01-02 02:56:13
1,Harper,4.375,-7.7169,76.26,77,0,1.52,LR,2023-01-02 02:56:13
2,Olinda,-8.0089,-34.8553,80.33,78,75,6.91,BR,2023-01-02 02:56:14
3,Korla,41.7597,86.1469,20.25,55,0,1.01,CN,2023-01-02 02:56:14
4,Rio Grande,-32.035,-52.0986,74.32,88,100,19.04,BR,2023-01-02 02:56:15
5,Marsh Harbour,26.5412,-77.0636,75.85,80,10,8.52,BS,2023-01-02 02:54:51
6,Teluk Nibung,3.001,99.8164,80.46,74,96,7.74,ID,2023-01-02 02:56:16
7,Mamallapuram,12.6264,80.1722,75.25,65,40,3.94,IN,2023-01-02 02:56:17
8,Hobart,-42.8794,147.3294,83.26,78,40,14.97,AU,2023-01-02 02:56:17
9,San Cristobal,7.7669,-72.225,66.38,97,63,2.64,VE,2023-01-02 02:52:17
10,Hilo,19.7297,-155.09,88.29,93,43,8.72,US,2023-01-02 02:56:18
11,Mogadishu,2.0371,45.3438,76.51,86,77,15.86,SO,2023-01-02 02:52:42
12,Yeppoon,-23.1333,150.7333,87.58,61,26,13.58,AU,2023-01-02 02:56:19
13,Mendota,36.7536,-120.3816,49.32,53,0,10.83,US,2023-01-02 02:56:20
14,Laela,-8.5667,32.05,57.29,91,81,0.31,TZ,2023-01-02 02:56:20
15,Salalah,17.0151,54.0924,69.85,44,23,9.31,OM,2023-01-02 02:56:21
16,Saravan,39.7196,45.6483,23.29,42,1,5.88,AM,2023-01-02 02:56:21
17,Geraldton,-28.7667,114.6,90.01,25,0,19.57,AU,2023-01-02 02:56:22
18,Nikolskoye,59.7035,30.7861,28.8,81,8,12.82,RU,2023-01-02 02:56:23
19,Ancud,-41.8697,-73.8203,52.05,80,58,4.88,CL,2023-01-02 02:56:23
20,Mar Del Plata,-38.0023,-57.5575,66.09,92,75,7.0,AR,2023-01-02 02:56:24
21,Banyo,6.75,11.8167,62.4,35,0,1.81,CM,2023-01-02 02:56:24
22,Dunedin,-45.8742,170.5036,59.81,95,23,16.69,NZ,2023-01-02 02:56:25
23,Carnarvon,-24.8667,113.6333,81.07,54,6,18.14,AU,2023-01-02 02:56:25
24,Busselton,-33.65,115.3333,76.96,35,0,7.29,AU,2023-01-02 02:56:26
25,San Quintin,30.4833,-115.95,57.72,62,21,20.18,MX,2023-01-02 02:56:26
26,Faanui,-16.4833,-151.75,81.18,74,32,11.25,PF,2023-01-02 02:56:27
27,Bambous Virieux,-20.3428,57.7575,78.22,88,40,3.44,MU,2023-01-02 02:56:28
28,Portland,45.5234,-122.6762,41.34,92,88,3.0,US,2023-01-02 02:54:21
29,Chuy,-33.6971,-53.4616,72.36,84,100,2.04,UY,2023-01-02 02:56:28
30,Kapaa,22.0752,-159.319,80.92,73,0,11.5,US,2023-01-02 02:51:51
31,Tuktoyaktuk,69.4541,-133.0374,-9.4,84,75,16.11,CA,2023-01-02 02:56:29
32,Anloga,5.7947,0.8973,77.76,62,44,3.58,GH,2023-01-02 02:56:29
33,Neiafu,-18.65,-173.9833,86.68,79,75,9.22,TO,2023-01-02 02:56:30
34,Port Alfred,-33.5906,26.891,65.17,93,14,1.01,ZA,2023-01-02 02:56:30
35,Liberty,31.8335,-81.5004,59.11,97,0,0.36,US,2023-01-02 02:56:31
36,Homer,59.6425,-151.5483,35.8,86,100,13.0,US,2023-01-02 02:56:31
37,Qaanaaq,77.484,-69.3632,1.11,61,100,5.21,GL,2023-01-02 02:56:32
38,Lebu,-37.6167,-73.65,55.51,80,0,15.28,CL,2023-01-02 02:56:33
39,Port Lincoln,-34.7333,135.8667,70.45,65,4,17.18,AU,2023-01-02 02:56:33
40,Bluff,-46.6,168.3333,63.27,64,99,5.12,NZ,2023-01-02 02:56:34
41,Chapais,49.7834,-74.8492,17.38,98,98,2.59,CA,2023-01-02 02:56:34
42,Touros,-5.1989,-35.4608,77.76,83,99,9.33,BR,2023-01-02 02:57:35
43,Cape Town,-33.9258,18.4232,72.37,65,0,16.11,ZA,2023-01-02 02:55:00
44,Severo-Kurilsk,50.6789,156.125,27.37,93,100,20.29,RU,2023-01-02 02:53:58
45,Vila Velha,-20.3297,-40.2925,76.95,93,75,4.61,BR,2023-01-02 02:53:20
46,Thompson,55.7435,-97.8558,-3.84,84,75,0.0,CA,2023-01-02 02:57:36
47,New Norfolk,-42.7826,147.0587,82.9,44,98,1.99,AU,2023-01-02 02:57:36
48,Hobyo,5.3505,48.5268,77.54,79,26,19.91,SO,2023-01-02 02:57:37
49,Monte Patria,-30.6919,-70.9467,72.19,50,0,1.77,CL,2023-01-02 02:55:54
50,Albany,42.6001,-73.9662,37.58,86,33,2.57,US,2023-01-02 02:57:38
51,La Cruz,23.9167,-106.9,65.64,80,4,2.91,MX,2023-01-02 02:57:38
52,Yellowknife,62.456,-114.3525,-16.89,100,25,4.56,CA,2023-01-02 02:56:41
53,Marzuq,14.4,46.4667,58.84,64,5,2.98,YE,2023-01-02 02:57:39
54,Verkhovazhye,60.7472,42.0465,20.46,92,54,9.75,RU,2023-01-02 02:57:39
55,Ushuaia,-54.8,-68.3,47.86,71,75,11.5,AR,2023-01-02 02:57:40
56,Rikitea,-23.1203,-134.9692,77.76,75,100,11.05,PF,2023-01-02 02:57:40
57,Dingle,10.9995,122.6711,81.91,79,100,12.35,PH,2023-01-02 02:57:41
58,Ludwigslust,53.3167,11.5,50.83,92,100,9.31,DE,2023-01-02 02:57:41
59,Visnes,59.3556,5.2242,38.21,80,100,8.05,NO,2023-01-02 02:57:42
60,Hermanus,-34.4187,19.2345,69.8,82,9,15.23,ZA,2023-01-02 02:57:42
61,Saskylakh,71.9167,114.0833,-13.68,100,99,3.6,RU,2023-01-02 02:57:43
62,Zhigalovo,54.8097,105.1578,-20.96,96,49,0.85,RU,2023-01-02 02:57:43
63,Nyurba,63.2842,118.3319,1.89,94,100,7.07,RU,2023-01-02 02:57:43
64,Atuona,-9.8,-139.0333,78.3,78,7,18.77,PF,2023-01-02 02:57:44
65,Ambovombe,-25.1667,46.0833,73.67,87,100,4.21,MG,2023-01-02 02:57:44
66,Codrington,-38.2667,141.9667,70.72,63,17,12.21,AU,2023-01-02 02:57:45
67,Bubaque,11.2833,-15.8333,78.15,76,66,5.1,GW,2023-01-02 02:57:45
68,Hasaki,35.7333,140.8333,48.6,45,2,9.75,JP,2023-01-02 02:53:21
69,Cabo San Lucas,22.8909,-109.9124,71.51,72,2,3.0,MX,2023-01-02 02:56:19
70,Ribeira Grande,38.5167,-28.7,59.77,75,82,18.99,PT,2023-01-02 02:57:46
71,Vaini,-21.2,-175.2,77.16,94,75,8.05,TO,2023-01-02 02:57:47
72,Asau,46.4333,26.4,34.72,72,9,6.31,RO,2023-01-02 02:57:47
73,Bandarban,22.1965,92.2262,62.31,41,1,2.1,BD,2023-01-02 02:57:48
74,Tiksi,71.6872,128.8694,-24.41,99,99,4.88,RU,2023-01-02 02:57:48
75,Punta Arenas,-53.15,-70.9167,48.31,76,20,27.63,CL,2023-01-02 02:57:48
76,Ponta Do Sol,32.6667,-17.1,65.01,82,100,5.84,PT,2023-01-02 02:57:49
77,Xining,36.6167,101.7667,21.69,48,7,1.79,CN,2023-01-02 02:57:49
78,Chadiza,-14.0678,32.4392,61.95,98,59,2.82,ZM,2023-01-02 02:57:50
79,Shiliguri,26.7,88.4333,67.17,44,1,1.05,IN,2023-01-02 02:57:21
80,Tocopilla,-22.092,-70.1979,68.92,75,33,5.61,CL,2023-01-02 02:57:51
81,Port Blair,11.6667,92.75,82.44,65,40,5.75,IN,2023-01-02 02:57:51
82,Constitucion,-35.3333,-72.4167,55.31,89,0,11.12,CL,2023-01-02 02:57:52
83,Riverton,40.5219,-111.9391,35.01,94,100,12.66,US,2023-01-02 02:54:37
84,Sassandra,4.95,-6.0833,72.64,86,1,3.11,CI,2023-01-02 02:57:52
85,Lagoa,39.05,-27.9833,58.6,79,100,25.59,PT,2023-01-02 02:57:53
86,Mount Isa,-20.7333,139.5,85.77,66,96,12.66,AU,2023-01-02 02:57:53
87,Chernyshevskiy,63.0128,112.4714,-19.75,90,87,4.27,RU,2023-01-02 02:57:54
88,General Roca,-39.0333,-67.5833,72.63,23,0,27.47,AR,2023-01-02 02:58:54
89,Atambua,-9.1061,124.8925,78.31,83,100,9.22,ID,2023-01-02 02:58:55
90,Clyde River,70.4692,-68.5914,-23.57,69,40,13.8,CA,2023-01-02 02:58:55
91,Ilulissat,69.2167,-51.1,-17.43,85,98,8.32,GL,2023-01-02 02:58:56
92,Guymon,36.6828,-101.4816,45.32,50,100,8.93,US,2023-01-02 02:58:57
93,Maragogi,-9.0122,-35.2225,75.56,89,93,6.38,BR,2023-01-02 02:58:57
94,Roebourne,-20.7833,117.1333,100.51,23,51,15.61,AU,2023-01-02 02:58:58
95,Kagadi,0.9606,30.7967,59.86,79,95,2.08,UG,2023-01-02 02:58:58
96,Vao,-22.6667,167.4833,77.88,71,0,16.75,NC,2023-01-02 02:58:59
97,Cordoba,-31.4135,-64.1811,67.75,70,0,6.91,AR,2023-01-02 02:54:26
98,Saint-Philippe,-21.3585,55.7679,76.59,79,71,1.79,RE,2023-01-02 02:58:59
99,Barrow,71.2906,-156.7887,6.82,85,100,11.5,US,2023-01-02 02:59:00
100,Liuzhou,24.3126,109.3892,57.96,53,35,14.03,CN,2023-01-02 02:59:00
101,Urucui,-7.2294,-44.5561,77.61,65,93,1.99,BR,2023-01-02 02:59:01
102,Barra Do Garcas,-15.89,-52.2567,73.71,88,69,1.66,BR,2023-01-02 02:54:22
103,Madisonville,37.3281,-87.4989,54.88,92,14,7.38,US,2023-01-02 02:54:54
104,Merauke,-8.4667,140.3333,86.23,64,97,10.31,ID,2023-01-02 02:59:02
105,Jamestown,42.097,-79.2353,42.03,61,100,4.0,US,2023-01-02 02:59:03
106,Mweka,-4.85,21.5667,67.64,99,100,1.88,CD,2023-01-02 02:59:03
